名前,英語名前,全国図鑑番号,ガラル図鑑番号,特性,タイプ,身長,体重,技
ルリリ,Azurill,298,-1,あついしぼう/ちからもち/そうしょく,ノーマル/フェアリー,0.2m,2.0kg,あまえる/あまごい/あられ/あわ/いばる/いびき/うずしお/うそなき/うたう/おんがえし/かげぶんしん/からげんき/くすぐる/こごえるかぜ/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぽをふる/すてみタックル/ずつき/たきのぼり/たたきつける/だくりゅう/てだすけ/とびはねる/どくどく/どろかけ/ないしょばなし/なみのり/ねごと/ねっとう/ねむる/のしかかり/はたきおとす/はねる/ひかりのかべ/ひみつのちから/ふぶき/ふるいたてる/ほごしょく/ほしがる/まねっこ/まもる/まるくなる/みがわり/みずあそび/みずでっぽう/みずのはどう/みずびたし/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/れいとうビーム/アイアンテール/アンコール/スピードスター/ハイパーボイス/バブルこうせん/メロメロ/リフレッシュ
ノズパス,Nosepass,299,-1,がんじょう/じりょく/すなのちから,いわ,1.0m,97.0kg,10まんボルト/いたみわけ/いちゃもん/いばる/いびき/いわおとし/いわくだき/いわなだれ/うちおとす/おんがえし/かいりき/かげぶんしん/かたくなる/かみなり/かみなりパンチ/からげんき/がんせきふうじ/げんしのちから/こらえる/ころがる/しぜんのめぐみ/じしん/じだんだ/じならし/じゅうりょく/すてみタックル/すなあらし/ずつき/たいあたり/だいちのちから/だいばくはつ/ちょうはつ/てだすけ/てっぺき/でんげきは/でんじは/でんじふゆう/でんじほう/とおせんぼう/どくどく/どろかけ/ないしょばなし/にほんばれ/ねごと/ねむる/のしかかり/ばくれつパンチ/ひみつのちから/ほうでん/ほのおのパンチ/まもる/まるくなる/みがわり/めざめるパワー/ものまね/もろはのずつき/やつあたり/ゆうわく/りんしょう/れいとうパンチ/ステルスロック/ストーンエッジ/スパーク/パワージェム/ボルトチェンジ/マグニチュード/マジカルシャイン/マジックコート/メロメロ/ロックオン/ロックカット/ロックブラスト/ワイドガード
フシギバナ,Venusaur,3,-1,しんりょく/ようりょくそ,くさ/どく,2.0m,100.0kg,あまいかおり/あまえる/いあいぎり/いかり/いとをはく/いばる/いびき/いわくだき/おんがえし/かいりき/かげぶんしん/かまいたち/からげんき/がまん/くさのちかい/くさぶえ/くさむすび/げきりん/こうごうせい/こらえる/しぜんのちから/しぜんのめぐみ/しめつける/しんぴのまもり/じしん/じだんだ/じならし/すてみタックル/ずつき/せいちょう/たいあたり/だいちのちから/つるぎのまい/つるのムチ/てだすけ/とおせんぼう/とっしん/どくどく/どくのこな/どろかけ/ないしょばなし/なきごえ/なやみのタネ/にほんばれ/ねごと/ねむりごな/ねむる/ねをはる/のしかかり/のろい/はかいこうせん/はたきおとす/はっぱカッター/はなびらのまい/はなふぶき/ひかりのかべ/ひみつのちから/ふるいたてる/ほえる/まもる/まるくなる/みがわり/みねうち/めざめるパワー/ものまね/やつあたり/やどりぎのタネ/ゆうわく/りんしょう/れんぞくぎり/ウェザーボール/エコーボイス/エナジーボール/ギガインパクト/ギガドレイン/グラスフィールド/ソーラービーム/タネばくだん/タネマシンガン/ドわすれ/ハードプラント/パワーウィップ/フラッシュ/ヘドロこうげき/ヘドロばくだん/ベノムショック/マジカルリーフ/メガドレイン/メロメロ/リフレクター/リーフストーム/ロケットずつき/ロッククライム
ニドリーナ,Nidorina,30,-1,どくのトゲ/とうそうしん/はりきり,どく,0.8m,20.0kg,10まんボルト/あなをほる/あまえる/あまごい/いあいぎり/いかり/いかりのまえば/いばる/いびき/いわくだき/おいうち/おだてる/おんがえし/かいりき/かげぶんしん/かなしばり/かみくだく/かみつく/かみなり/からげんき/がまん/きあいだめ/こらえる/しぜんのめぐみ/しっぽをふる/じだんだ/すてみタックル/ずつき/たいあたり/ちょうおんぱ/つのドリル/つばめがえし/つめとぎ/てだすけ/でんげきは/とっしん/どくづき/どくどく/どくどくのキバ/どくばり/どくびし/どろかけ/どろぼう/ないしょばなし/なきごえ/なしくずし/にどげり/にほんばれ/ねごと/ねむる/のしかかり/のろい/ひっかく/ひみつのちから/ふいうち/ふくろだたき/ふぶき/まもる/まるくなる/みがわり/みきり/みずでっぽう/みずのはどう/みだれひっかき/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/れいとうビーム/アイアンテール/エコーボイス/カウンター/シャドークロー/バブルこうせん/ヘドロばくだん/ベノムショック/ベノムトラップ/ポイズンテール/メロメロ/リフレクター/ロケットずつき
エネコ,Skitty,300,-1,メロメロボディ/ノーマルスキン/ミラクルスキン,ノーマル,0.6m,11.0kg,10まんボルト/あなをほる/あまえる/あまごい/いばる/いびき/いやしのすず/うそなき/うたう/おうふくビンタ/おんがえし/かげぶんしん/かたきうち/かみなり/からげんき/くさむすび/くすぐる/こごえるかぜ/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/しっぽをふる/しねんのずつき/しんぴのまもり/じこあんじ/じゃれつく/すてみタックル/ずつき/たいあたり/だましうち/てだすけ/でんげきは/でんじは/とっておき/どくどく/どろかけ/どろばくだん/ないしょばなし/なきごえ/にほんばれ/ねがいごと/ねこだまし/ねこのて/ねごと/ねむる/のしかかり/ひみつのちから/ふいうち/ふぶき/ふるいたてる/ほしがる/まねっこ/まもる/まるくなる/みがわり/みずのはどう/みやぶる/めいそう/めざましビンタ/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆめくい/りんしょう/れいとうビーム/アイアンテール/エコーボイス/コスモパワー/シャドーボール/シンプルビーム/スピードスター/ソーラービーム/チャージビーム/チャームボイス/ネコにこばん/ハイパーボイス/バトンタッチ/フラッシュ/メロメロ/ワイルドボルト
エネコロロ,Delcatty,301,-1,メロメロボディ/ノーマルスキン/ミラクルスキン,ノーマル,1.1m,32.6kg,10まんボルト/あなをほる/あまえる/あまごい/いばる/いびき/いやしのすず/いわくだき/うそなき/うたう/おうふくビンタ/おんがえし/かいりき/かげぶんしん/かたきうち/かみなり/からげんき/くさむすび/くすぐる/こごえるかぜ/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/しっぽをふる/しねんのずつき/しんぴのまもり/じこあんじ/じだんだ/じゃれつく/すてみタックル/ずつき/たいあたり/だましうち/てだすけ/てんしのキッス/でんげきは/でんじは/とぎすます/とっておき/どくどく/どろかけ/どろばくだん/ないしょばなし/なきごえ/にほんばれ/ねがいごと/ねこだまし/ねこのて/ねごと/ねむる/のしかかり/はかいこうせん/ひみつのちから/ふいうち/ふぶき/ふるいたてる/ほしがる/まねっこ/まもる/まるくなる/みがわり/みずのはどう/みやぶる/めいそう/めざましビンタ/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆめくい/りんしょう/れいとうビーム/アイアンテール/エコーボイス/ギガインパクト/コスモパワー/シャドーボール/シンプルビーム/スピードスター/ソーラービーム/チャージビーム/チャームボイス/ネコにこばん/ハイパーボイス/バトンタッチ/フラッシュ/メロメロ/ワイルドボルト
ヤミラミ,Sableye,302,294,するどいめ/あとだし/いたずらごころ,あく/ゴースト,0.5m,11.0kg,あくのはどう/あなをほる/あまごい/あやしいかぜ/あやしいひかり/いあいぎり/いたみわけ/いちゃもん/いばる/いびき/いわくだき/うらみ/おしおき/おだてる/おどろかす/おにび/おんがえし/かげうち/かげぶんしん/かたきうち/かなしばり/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいパンチ/くすぐる/くろいまなざし/けたぐり/こごえるかぜ/こらえる/さきおくり/さしおさえ/しぜんのめぐみ/しっぺがえし/しねんのずつき/じこあんじ/じこさいせい/じゅうりょく/すてみタックル/ずつき/たたりめ/だましうち/ちきゅうなげ/ちょうはつ/つきのひかり/つばめがえし/つめとぎ/てだすけ/でんげきは/どくづき/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なりきり/にほんばれ/にらみつける/ねこだまし/ねごと/ねむる/のしかかり/はたきおとす/ばくれつパンチ/ひっかく/ひみつのちから/ふいうち/ふういん/ほのおのパンチ/まもる/みがわり/みきり/みずのはどう/みだれひっかき/みやぶる/めいそう/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆびをふる/ゆめくい/よこどり/りんしょう/れいとうパンチ/れんぞくぎり/わるだくみ/アンコール/イカサマ/オクタンほう/カウンター/グロウパンチ/サイコキネシス/サイドチェンジ/シグナルビーム/シャドークロー/シャドーボール/ジャイロボール/テレキネシス/トリック/ドレインパンチ/ナイトヘッド/バークアウト/パワージェム/フェイント/フラッシュ/マジカルシャイン/マジックコート/メガトンキック/メガトンパンチ/メタルバースト/メロメロ/ローキック/ワンダールーム
メガヤミラミ,Sableye,302,-1,マジックミラー,あく/ゴースト,0.5m,161.0kg,あくのはどう/あなをほる/あまごい/あやしいかぜ/あやしいひかり/いあいぎり/いたみわけ/いちゃもん/いばる/いびき/いわくだき/うらみ/おしおき/おだてる/おどろかす/おにび/おんがえし/かげうち/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいパンチ/くすぐる/くろいまなざし/けたぐり/こごえるかぜ/こらえる/さきおくり/さしおさえ/しぜんのめぐみ/しっぺがえし/しねんのずつき/じこあんじ/じこさいせい/じゅうりょく/すてみタックル/ずつき/だましうち/ちきゅうなげ/ちょうはつ/つきのひかり/つばめがえし/つめとぎ/てだすけ/でんげきは/どくづき/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なりきり/にほんばれ/にらみつける/ねこだまし/ねごと/ねむる/のしかかり/はたきおとす/ばくれつパンチ/ひっかく/ひみつのちから/ふいうち/ふういん/ほのおのパンチ/まもる/みがわり/みきり/みずのはどう/みだれひっかき/みやぶる/めいそう/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆびをふる/ゆめくい/よこどり/りんしょう/れいとうパンチ/れんぞくぎり/わるだくみ/イカサマ/オクタンほう/カウンター/グロウパンチ/サイコキネシス/サイドチェンジ/シグナルビーム/シャドークロー/シャドーボール/テレキネシス/トリック/ナイトヘッド/バークアウト/パワージェム/フェイント/フラッシュ/マジカルシャイン/マジックコート/メガトンキック/メガトンパンチ/メタルバースト/メロメロ/ローキック/ワンダールーム
クチート,Mawile,303,295,かいりきバサミ/いかく/ちからずく,はがね/フェアリー,0.6m,11.5kg,あくのはどう/あまいかおり/あまごい/いかりのまえば/いたみわけ/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うそなき/うたう/おしおき/おどろかす/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かみくだく/かみつく/かみなりのキバ/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/くさむすび/くすぐる/げんしのちから/こおりのキバ/こごえるかぜ/こらえる/さしおさえ/しぜんのめぐみ/しっぺがえし/じこあんじ/じゃれつく/すてみタックル/すなあらし/ずつき/たくわえる/たたきつける/だいもんじ/だましうち/ちきゅうなげ/ちょうはつ/つるぎのまい/てだすけ/てっていこうせん/てっぺき/でんじふゆう/とぎすます/とっておき/どくどく/どくどくのキバ/どろかけ/ないしょばなし/なきごえ/なげつける/にほんばれ/ねごと/ねむる/のしかかり/のみこむ/はかいこうせん/はきだす/はさむ/はたきおとす/ばくれつパンチ/ひみつのちから/ふいうち/ぶんまわす/ほのおのキバ/まもる/みがわり/みねうち/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ようせいのかぜ/よこどり/りんしょう/れいとうパンチ/れいとうビーム/アイアンヘッド/イカサマ/カウンター/ガードスワップ/ギガインパクト/グロウパンチ/サイコファング/シャドーボール/ステルスロック/ストーンエッジ/ソーラービーム/ダメおし/チャージビーム/ドレインキッス/バトンタッチ/ヘドロばくだん/ミストフィールド/メガトンキック/メガトンパンチ/メタルバースト/メロメロ/ラスターカノン
メガクチート,Mawile,303,-1,ちからもち,はがね/フェアリー,1.0m,23.5kg,あくのはどう/あまいかおり/あまごい/いかりのまえば/いたみわけ/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うそなき/うたう/おしおき/おどろかす/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かみくだく/かみつく/かみなりのキバ/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/くさむすび/くすぐる/げんしのちから/こおりのキバ/こごえるかぜ/こらえる/さしおさえ/しぜんのめぐみ/しっぺがえし/じこあんじ/じゃれつく/すてみタックル/すなあらし/ずつき/たくわえる/たたきつける/だいもんじ/だましうち/ちきゅうなげ/ちょうはつ/つるぎのまい/てっぺき/でんじふゆう/とぎすます/とっておき/どくどく/どくどくのキバ/どろかけ/ないしょばなし/なきごえ/なげつける/にほんばれ/ねごと/ねむる/のしかかり/のみこむ/はかいこうせん/はきだす/はさむ/はたきおとす/ばくれつパンチ/ひみつのちから/ふいうち/ほのおのキバ/まもる/みがわり/みねうち/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ようせいのかぜ/よこどり/りんしょう/れいとうパンチ/れいとうビーム/アイアンヘッド/イカサマ/カウンター/ガードスワップ/ギガインパクト/グロウパンチ/シャドーボール/ステルスロック/ストーンエッジ/ソーラービーム/チャージビーム/バトンタッチ/ヘドロばくだん/ミストフィールド/メガトンキック/メガトンパンチ/メタルバースト/メロメロ/ラスターカノン
ココドラ,Aron,304,-1,がんじょう/いしあたま/ヘヴィメタル,はがね/いわ,0.4m,60.0kg,あなをほる/あまごい/いあいぎり/いばる/いびき/いやなおと/いわくだき/いわなだれ/うらみ/おんがえし/かいりき/かげぶんしん/かたくなる/からげんき/がむしゃら/がんせきふうじ/きしかいせい/きつけ/きんぞくおん/げんしのちから/こらえる/ころがる/さわぐ/しぜんのめぐみ/じしん/じならし/すてみタックル/すなあらし/ずつき/たいあたり/だいちのちから/つばめがえし/つめとぎ/てっぺき/でんげきは/でんじふゆう/とっしん/どくどく/どろかけ/ないしょばなし/にほんばれ/ねごと/ねむる/のしかかり/のろい/ばかぢから/ひみつのちから/ふみつけ/ほえる/まもる/まるくなる/みがわり/みずのはどう/めざめるパワー/ものまね/もろはのずつき/やつあたり/ゆうわく/りんしょう/れんぞくぎり/アイアンテール/アイアンヘッド/シャドークロー/ステルスロック/ドラゴンダイブ/ヘビーボンバー/ボディパージ/メタルクロー/メタルバースト/メロメロ/ロックカット
コドラ,Lairon,305,-1,がんじょう/いしあたま/ヘヴィメタル,はがね/いわ,0.9m,120.0kg,あなをほる/あまごい/いあいぎり/いばる/いびき/いやなおと/いわくだき/いわなだれ/うらみ/おんがえし/かいりき/かげぶんしん/かたくなる/からげんき/がむしゃら/がんせきふうじ/きしかいせい/きつけ/きんぞくおん/げんしのちから/こらえる/ころがる/さわぐ/しぜんのめぐみ/じしん/じだんだ/じならし/すてみタックル/すなあらし/ずつき/たいあたり/だいちのちから/つばめがえし/つめとぎ/てっぺき/でんげきは/でんじふゆう/とっしん/どくどく/どろかけ/ないしょばなし/にほんばれ/ねごと/ねむる/のしかかり/のろい/ばかぢから/ひみつのちから/ふみつけ/ほえる/まもる/まるくなる/みがわり/みずのはどう/めざめるパワー/ものまね/もろはのずつき/やつあたり/ゆうわく/りんしょう/れんぞくぎり/アイアンテール/アイアンヘッド/シャドークロー/ステルスロック/ストーンエッジ/ドラゴンダイブ/ヘビーボンバー/ボディパージ/メタルクロー/メタルバースト/メロメロ/ロックカット
ボスゴドラ,Aggron,306,-1,がんじょう/いしあたま/ヘヴィメタル,はがね/いわ,2.1m,360.0kg,10まんボルト/あくのはどう/あなをほる/あまごい/いあいぎり/いばる/いびき/いやなおと/いわくだき/いわなだれ/うずしお/うちおとす/うらみ/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたくなる/かみなり/かみなりパンチ/からげんき/かわらわり/がむしゃら/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/きつけ/きんぞくおん/けたぐり/げきりん/げんしのちから/こごえるかぜ/こらえる/ころがる/さわぐ/しぜんのめぐみ/しっぺがえし/じしん/じだんだ/じならし/すてみタックル/すなあらし/ずつき/たいあたり/だいちのちから/だいもんじ/ちきゅうなげ/ちょうはつ/つばめがえし/つめとぎ/てっぺき/でんげきは/でんじは/でんじふゆう/とおせんぼう/とっしん/どくどく/どろかけ/ないしょばなし/なげつける/なみのり/にほんばれ/ねごと/ねむる/のしかかり/のろい/はかいこうせん/ばかぢから/ばくれつパンチ/ひみつのちから/ふぶき/ふみつけ/ぶんまわす/ほえる/ほのおのパンチ/まもる/まるくなる/みがわり/みずのはどう/めざめるパワー/ものまね/もろはのずつき/やきつくす/やつあたり/ゆうわく/ゆきなだれ/りゅうのはどう/りんしょう/れいとうパンチ/れいとうビーム/れんぞくぎり/アイアンテール/アイアンヘッド/アクアテール/カウンター/ギガインパクト/グロウパンチ/シャドークロー/ステルスロック/ストーンエッジ/スマートホーン/ソーラービーム/ドラゴンクロー/ドラゴンダイブ/ドラゴンテール/ヘビーボンバー/ボディパージ/メガトンキック/メガトンパンチ/メタルクロー/メタルバースト/メロメロ/ラスターカノン/ロックカット/ロッククライム
アサナン,Meditite,307,-1,ヨガパワー/テレパシー,かくとう/エスパー,0.6m,11.2kg,あまごい/いたみわけ/いばる/いびき/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/くさむすび/けたぐり/こころのめ/こらえる/しぜんのめぐみ/しねんのずつき/しんくうは/じこあんじ/じこさいせい/じゅうりょく/すてみタックル/ずつき/ちきゅうなげ/つぼをつく/てだすけ/とびひざげり/どくづき/どくどく/どろかけ/ないしょばなし/なげつける/なりきり/にほんばれ/ねこだまし/ねごと/ねむる/ねんりき/のしかかり/はっけい/ばくれつパンチ/ひかりのかべ/ひみつのちから/ふるいたてる/ほのおのパンチ/まもる/みがわり/みきり/みやぶる/めいそう/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/ゆめくい/りんしょう/れいとうパンチ/カウンター/ガードスワップ/グロウパンチ/サイコカッター/サイコキネシス/サイコショック/シグナルビーム/シャドーボール/スピードスター/テレキネシス/トリック/ドレインパンチ/バトンタッチ/バレットパンチ/パワースワップ/パワートリック/ビルドアップ/ファストガード/フェイント/フラッシュ/マジックコート/メガトンキック/メガトンパンチ/メロメロ/ヨガのポーズ/リサイクル/リフレクター/ローキック
チャーレム,Medicham,308,-1,ヨガパワー/テレパシー,かくとう/エスパー,1.3m,31.5kg,あまごい/いたみわけ/いばる/いびき/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/くさむすび/けたぐり/こころのめ/こらえる/しぜんのめぐみ/しねんのずつき/しんくうは/じこあんじ/じこさいせい/じゅうりょく/すてみタックル/ずつき/ちきゅうなげ/つぼをつく/てだすけ/とぎすます/とびひざげり/どくづき/どくどく/どろかけ/ないしょばなし/なげつける/なりきり/にほんばれ/ねこだまし/ねごと/ねむる/ねんりき/のしかかり/はかいこうせん/はっけい/ばくれつパンチ/ひかりのかべ/ひみつのちから/ふるいたてる/ほのおのパンチ/まもる/みがわり/みきり/みやぶる/めいそう/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/ゆめくい/りんしょう/れいとうパンチ/エナジーボール/カウンター/ガードスワップ/ギガインパクト/グロウパンチ/サイコカッター/サイコキネシス/サイコショック/シグナルビーム/シャドーボール/スピードスター/テレキネシス/トリック/ドレインパンチ/バトンタッチ/バレットパンチ/パワースワップ/パワートリック/ビルドアップ/ファストガード/フェイント/フラッシュ/マジックコート/メガトンキック/メガトンパンチ/メロメロ/ヨガのポーズ/リサイクル/リフレクター/ローキック
ラクライ,Electrike,309,66,せいでんき/ひらいしん/マイナス,むし,0.6m,15.2kg,10まんボルト/あまごい/いばる/いびき/おんがえし/かいでんぱ/かいりき/かえんほうしゃ/かぎわける/かげぶんしん/かみくだく/かみつく/かみなり/かみなりのキバ/からげんき/こうそくいどう/こおりのキバ/こらえる/さわぐ/しぜんのめぐみ/じゅうでん/すてみタックル/すりかえ/ずつき/たいあたり/でんげきは/でんこうせっか/でんじは/でんじふゆう/とおぼえ/どくどく/どろかけ/どろぼう/ないしょばなし/にらみつける/ねごと/ねむる/のしかかり/のろい/はじけるほのお/ひかりのかべ/ひみつのちから/ほうでん/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/アイアンテール/エレキボール/サイコファング/シグナルビーム/スパーク/スピードスター/チャージビーム/バークアウト/フラッシュ/ボルトチェンジ/メロメロ/ワイルドボルト
ニドクイン,Nidoqueen,31,-1,どくのトゲ/とうそうしん/ちからずく,どく/じめん,1.3m,60.0kg,10まんボルト/あなをほる/あまえる/あまごい/いあいぎり/いかり/いかりのまえば/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うずしお/うちおとす/おいうち/おだてる/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かなしばり/かみくだく/かみつく/かみなり/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/げきりん/こごえるかぜ/こらえる/さきおくり/さわぐ/しぜんのめぐみ/しっぽをふる/じごくぐるま/じごくづき/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/たいあたり/だいちのちから/だいもんじ/ちきゅうなげ/ちょうおんぱ/ちょうはつ/つのドリル/つばめがえし/つめとぎ/てだすけ/でんげきは/とっしん/どくづき/どくどく/どくどくのキバ/どくばり/どくびし/どろかけ/どろぼう/ないしょばなし/なきごえ/なげつける/なしくずし/なみのり/にどげり/にほんばれ/ねごと/ねむる/ねんりき/のしかかり/のろい/はかいこうせん/ばかぢから/ばくれつパンチ/ひっかく/ひみつのちから/ふいうち/ふくろだたき/ふぶき/ほえる/ほのおのパンチ/まもる/まるくなる/みがわり/みきり/みずでっぽう/みずのはどう/みだれひっかき/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/ゆきなだれ/りゅうのはどう/りんしょう/れいとうパンチ/れいとうビーム/れんぞくぎり/アイアンテール/アクアテール/エコーボイス/カウンター/ギガインパクト/グロウパンチ/シャドークロー/シャドーボール/ステルスロック/ストーンエッジ/ドわすれ/ドラゴンテール/ドリルライナー/ネコにこばん/バブルこうせん/ヘドロばくだん/ヘドロウェーブ/ベノムショック/ベノムトラップ/ポイズンテール/メガトンキック/メガトンパンチ/メロメロ/リフレクター/ロケットずつき/ロッククライム
ライボルト,Manectric,310,67,せいでんき/ひらいしん/マイナス,むし,1.5m,40.2kg,10まんボルト/あまごい/いばる/いびき/おんがえし/かいでんぱ/かいりき/かえんほうしゃ/かぎわける/かげぶんしん/かみくだく/かみつく/かみなり/かみなりのキバ/からげんき/こうそくいどう/こおりのキバ/こらえる/こわいかお/さわぐ/しぜんのめぐみ/じゅうでん/すてみタックル/すりかえ/ずつき/たいあたり/でんげきは/でんこうせっか/でんじは/でんじふゆう/とおぼえ/とぎすます/どくどく/どろかけ/どろぼう/ないしょばなし/にらみつける/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はじけるほのお/ひかりのかべ/ひみつのちから/ほうでん/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/アイアンテール/エレキフィールド/エレキボール/オーバーヒート/ギガインパクト/サイコファング/シグナルビーム/スパーク/スピードスター/チャージビーム/ハイパーボイス/バークアウト/フラッシュ/ボルトチェンジ/メロメロ/リフレッシュ/ワイルドボルト
メガライボルト,Manectric,310,-1,いかく,むし,1.8m,44.0kg,10まんボルト/あまごい/いばる/いびき/おんがえし/かいでんぱ/かいりき/かえんほうしゃ/かぎわける/かげぶんしん/かみくだく/かみつく/かみなり/かみなりのキバ/からげんき/こおりのキバ/こらえる/さわぐ/しぜんのめぐみ/じゅうでん/すてみタックル/すりかえ/ずつき/たいあたり/でんげきは/でんこうせっか/でんじは/でんじふゆう/とおぼえ/とぎすます/どくどく/どろかけ/どろぼう/ないしょばなし/にらみつける/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はじけるほのお/ひかりのかべ/ひみつのちから/ほうでん/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/アイアンテール/エレキフィールド/エレキボール/オーバーヒート/ギガインパクト/シグナルビーム/スパーク/スピードスター/チャージビーム/バークアウト/フラッシュ/ボルトチェンジ/メロメロ/リフレッシュ/ワイルドボルト
プラスル,Plusle,311,-1,プラス/ひらいしん,むし,0.4m,4.2kg,10まんボルト/あまえる/あまごい/いばる/いびき/うそなき/うたう/おまじない/おんがえし/かげぶんしん/かみなり/かみなりパンチ/からげんき/くさむすび/こうそくいどう/こらえる/ころがる/さわぐ/しぜんのめぐみ/じゅうでん/すてみタックル/ずつき/ちきゅうなげ/てだすけ/てんしのキッス/でんげきは/でんこうせっか/でんじは/でんじふゆう/とっておき/どくどく/どろかけ/ないしょばなし/なかまづくり/なかよくする/なきごえ/なげつける/なみだめ/ねがいごと/ねごと/ねむる/のしかかり/ばくれつパンチ/ひかりのかべ/ひみつのちから/ほうでん/ほしがる/ほっぺすりすり/まねっこ/まもる/まるくなる/みがわり/みずあそび/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/りんしょう/わるだくみ/アイアンテール/アンコール/エコーボイス/エレキネット/エレキボール/カウンター/ギフトパス/シグナルビーム/スパーク/スピードスター/チャージビーム/バトンタッチ/フラッシュ/ボルトチェンジ/メガトンキック/メガトンパンチ/メロメロ/ワイルドボルト
マイナン,Minun,312,-1,マイナス/ちくでん,むし,0.4m,4.2kg,10まんボルト/あまえる/あまごい/いばる/いびき/うそなき/うたう/おまじない/おんがえし/かげぶんしん/かみなり/かみなりパンチ/からげんき/きりふだ/くさむすび/こうそくいどう/こらえる/ころがる/さわぐ/しぜんのめぐみ/じゅうでん/すてみタックル/すりかえ/ずつき/ちきゅうなげ/てだすけ/てんしのキッス/でんげきは/でんこうせっか/でんじは/でんじふゆう/とっておき/どくどく/どろあそび/どろかけ/ないしょばなし/なかまづくり/なかよくする/なきごえ/なげつける/なみだめ/ねがいごと/ねごと/ねむる/のしかかり/ばくれつパンチ/ひかりのかべ/ひみつのちから/ほうでん/ほしがる/ほっぺすりすり/まねっこ/まもる/まるくなる/みがわり/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/りんしょう/わるだくみ/アイアンテール/アンコール/エコーボイス/エレキネット/エレキボール/カウンター/シグナルビーム/スパーク/スピードスター/チャージビーム/バトンタッチ/フラッシュ/ボルトチェンジ/メガトンキック/メガトンパンチ/メロメロ/ワイルドボルト
